ID	TCGA-CV-7104-01A-11R-2016-07	TCGA-F7-A61W-01A-11R-A28V-07	TCGA-F7-A620-01A-11R-A28V-07	TCGA-C9-A47Z-01A-11R-A24H-07	TCGA-CV-7446-01A-11R-2232-07	TCGA-HD-7831-01A-11R-2132-07	TCGA-CV-5979-01A-11R-1686-07	TCGA-CV-6952-01A-11R-1915-07	TCGA-CV-7180-01A-11R-2016-07	TCGA-CV-A465-01A-11R-A266-07	TCGA-CV-6950-01A-11R-1915-07	TCGA-CN-6998-01A-23R-2016-07	TCGA-CR-6493-01A-11R-1873-07	TCGA-DQ-7591-01A-11R-2081-07	TCGA-WA-A7H4-01A-21R-A34R-07	TCGA-CQ-A4CE-01A-11R-A266-07	TCGA-CV-6961-01A-21R-1915-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-BB-4225-01A-01R-1436-07	TCGA-C9-A480-01A-12R-A24H-07	TCGA-CN-A6UY-01A-12R-A34R-07	TCGA-CN-6017-01A-11R-1686-07	TCGA-BB-4228-01A-01R-1436-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-F7-A50G-01A-11R-A266-07	TCGA-CV-6441-01A-11R-1686-07	TCGA-CR-6472-01A-11R-1873-07	TCGA-CN-4742-01A-02R-1514-07	TCGA-BA-4074-01A-01R-1436-07	TCGA-DQ-5631-01A-01R-1873-07	TCGA-BB-A6UO-01A-12R-A34R-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-6941-01A-11R-1915-07	TCGA-CR-5250-01A-01R-1514-07	TCGA-F7-A50J-01A-21R-A28V-07	TCGA-QK-A652-01A-11R-A30B-07	TCGA-CV-A6JO-01B-11R-A34R-07	TCGA-CV-A45P-01A-11R-A24H-07	TCGA-CV-5977-01A-11R-1686-07	TCGA-MT-A67A-01A-11R-A30B-07	TCGA-D6-A4Z9-01A-11R-A24Z-07	TCGA-D6-6825-01A-21R-1915-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-P3-A5QE-01A-11R-A28V-07	TCGA-P3-A5QA-01A-11R-A28V-07	TCGA-CQ-6218-01A-11R-1915-07	TCGA-CR-6488-01A-12R-2081-07	TCGA-CN-5370-01A-01R-2016-07	TCGA-IQ-A61J-01A-11R-A30B-07	TCGA-CQ-5325-01A-01R-1686-07	TCGA-CQ-6229-01A-11R-1915-07	TCGA-UP-A6WW-01A-12R-A34R-07	TCGA-CN-A642-01A-12R-A30B-07	TCGA-CR-7394-01A-11R-2016-07	TCGA-CV-6003-01A-11R-1686-07	TCGA-CN-4736-01A-01R-1436-07	TCGA-CQ-7065-01A-11R-2081-07	TCGA-BA-A6DB-01A-11R-A30B-07	TCGA-CR-7397-01A-11R-2016-07	TCGA-CQ-5330-01A-01R-1686-07	TCGA-IQ-A6SH-01A-12R-A34R-07	TCGA-BA-A6DE-01A-22R-A31N-07	TCGA-CV-6433-01A-11R-1686-07	TCGA-CQ-A4CA-01A-11R-A24Z-07	TCGA-HD-8314-01A-11R-2403-07	TCGA-CV-6945-01A-11R-1915-07	TCGA-BA-4075-01A-01R-1436-07	TCGA-KU-A6H8-01A-21R-A34R-07	TCGA-UF-A7JS-01A-11R-A34R-07	TCGA-CQ-6219-01A-11R-1915-07	TCGA-MZ-A7D7-01A-21R-A34R-07	TCGA-QK-AA3K-01A-11R-A39I-07	TCGA-BB-4224-01A-01R-1436-07	TCGA-IQ-A6SG-01A-12R-A34R-07	TCGA-CN-4737-01A-01R-1436-07	TCGA-DQ-5624-01A-01R-1873-07	TCGA-CQ-6224-01A-11R-1915-07	TCGA-CR-7392-01A-11R-2016-07	TCGA-DQ-5625-01A-01R-1873-07	TCGA-CV-5973-01A-11R-1686-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-7236-01A-11R-2016-07	TCGA-IQ-A61H-01A-11R-A30B-07	TCGA-CV-6951-01A-11R-1915-07	TCGA-CN-4733-01A-02R-1873-07	TCGA-BA-7269-01A-11R-2016-07	TCGA-CN-6996-01A-11R-1915-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-MT-A51X-01A-11R-A266-07	TCGA-CV-6954-01A-11R-1915-07	TCGA-CQ-A4CH-01A-11R-A266-07	TCGA-T2-A6WZ-01A-21R-A34R-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-CQ-5333-01A-01R-2403-07	TCGA-CQ-7072-01A-21R-A30B-07	TCGA-IQ-A61E-01A-22R-A30B-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-A6JT-01A-11R-A31N-07	TCGA-CN-5367-01A-01R-1436-07	TCGA-CV-5971-01A-11R-1686-07	TCGA-BA-6871-01A-11R-1873-07	TCGA-CV-A45T-01A-11R-A24H-07	TCGA-F7-A61S-01A-11R-A28V-07	TCGA-CR-6477-01A-11R-1873-07	TCGA-CV-6436-01A-11R-1686-07	TCGA-CR-7372-01A-11R-2016-07	TCGA-D6-A4ZB-01A-11R-A24Z-07	TCGA-HD-8224-01A-11R-2403-07	TCGA-CR-7390-01A-11R-2016-07	TCGA-CV-5439-01A-01R-1686-07	TCGA-CQ-5327-01A-01R-1686-07	TCGA-CR-7393-01A-11R-2016-07	TCGA-CN-4725-01A-01R-1436-07	TCGA-CV-A45R-01A-11R-A24H-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-D6-6515-01A-21R-1873-07	TCGA-CV-5976-01A-11R-1686-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CX-7085-01A-21R-2016-07	TCGA-CN-6016-01A-11R-1686-07	TCGA-CN-6024-01A-11R-1686-07	TCGA-CR-7401-01A-11R-2016-07	TCGA-DQ-7592-01A-11R-2081-07	TCGA-4P-AA8J-01A-11R-A39I-07	TCGA-CV-5970-01A-11R-1686-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-D6-8569-01A-11R-2403-07	TCGA-CQ-6222-01A-11R-1915-07	TCGA-CV-A6K0-01B-21R-A31N-07	TCGA-CN-A498-01A-11R-A24H-07	TCGA-HD-8634-01A-11R-2403-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CR-7382-01A-11R-2132-07	TCGA-BA-6873-01A-11R-1873-07	TCGA-BA-A6DG-01A-21R-A30B-07	TCGA-CN-6019-01A-11R-1686-07	TCGA-F7-A61V-01A-11R-A28V-07	TCGA-BA-4077-01B-01R-1436-07	TCGA-CN-A6V6-01A-12R-A34R-07	TCGA-CR-7391-01A-11R-2016-07	TCGA-CQ-5329-01A-01R-1686-07	TCGA-CQ-6221-01A-11R-2081-07	TCGA-DQ-5630-01A-01R-1873-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-D6-6823-01A-11R-1915-07	TCGA-CV-A6JU-01A-11R-A31N-07
APCDD1L-DT	0.495742437	0.844890527	2.002276	0.8268879	0.1699667	0.411129177	1.875462	0.93060209	0.05084666	5.009929	1.057164	2.698793	1.241212	0.06705871	0.6292288	0.7586093	0.9643425	0.2674685	0.04392206	0.2749846	0.04282956	0.2799478	0.02184453	0.1504097	1.205577	0.02375753	0.02123576	1.694344979	0.06223173	0.08688608	0.2679595	0.6774069	0.2228235	0.003951448	0.950766765	5.374211034	0.05882355	0.2329097	1.155948	0.2361123	0.51402923	1.581973	0.03400981	0.02688005	0.1053741	0.3851198	1.405770419	1.792949361	0.582087	0.6624184	0.419031997	1.445216711	0.106171012	0.01201352	0.501339762	1.743669	0.6354736	1.303641	0.46240408	1.303419	1.51187527	0.9895764	1.150402	0.004234448	0.03673586	0.05260594	0.364114314	1.240283	0.03366734	2.216459	0.521707	1.581218	0.175924045	0.1076606	0.03348759	2.878694	1.82008	2.555725	1.074057	0.06630357	0.6274601	0.361577874	0.05735473	0.049511344	0.1085256	0.385562	1.849657	0.45510983	0.803895197	0.7043691	1.56831	1.91626	0.049635	0.1495001	0.04174158	0.9431797	0.119414713	1.372814	1.658405205	0.480418774	0.04820791	0.05061087	0.753755408	2.394483	2.8439	0.1258524	0.7227967	0.859552069	0	0.05123609	0.028367601	0.04500373	0.1203369	1.469859	0.449227	0.8963633	0.1071729	0.909686	0.6857314	0.3702728	0.2892551	0.03743359	1.826526	0.2931942	0.1596955	1.881166	0.1106797	0.101607602	0.1217715	0.316546867	0.2318436	0.501262784	0.267513095	0.04278584	0.0374977	0.7898927	0.14747094	0.1814993	0.737413716	0.005345035	0.288310321	0.992903332	0.154019897	0.513778365	0.8523719	0.2007806	0.04129767
AL136084.3	0.404240144	0.048756021	0.362677	0.1361684	0.4781522	0.472078968	0.1243867	0.214442115	0	0.04124065	0.4075755	0.1937865	0.4481443	0.1509203	0.8751323	0.1340814	1.255125	0.5694183	0.3421719	0	0.0535505	1.658005	0.286782	0.5450544	0.04462558	0	0.3823405	0.630287784	0.09549329	0.4053943	0.986828	1.111652	0.2619671	0.533580457	0.105929043	0.452714984	0.264773	0.04227254	0.04335901	0.06991937	0.493234242	1.082283	0.6610398	1.172099	0.4658339	0.59638	0.409109999	0.676823476	1.846734	0.3494106	0.972999054	0.245940311	0.170675171	0.09012422	0.407118544	0	0.2383629	0.03695131	0.520336255	1.145873	0.768324592	0.2339402	0.1471057	0.0476496	0.1033458	0.4143766	0.033584613	0.09494361	0.3314967	0.09203494	0.2991434	0.05248731	0.40958202	0	0.3768308	0.5141827	0.2860486	0.8109336	1.592755	0.071057519	0	0.201996202	0.8152472	0.65844243	0.08141477	2.859578	0.6778477	0.29736473	0.254308312	0.1328406	0.1835142	0.2130769	0.1861783	0.3098977	0.1761419	0.6432398	0.089583702	0.5679436	0.04677138	0.207926121	2.744292	0.7793383	0.307633482	0	0.4917976	0	1.539841	0.173755837	0.1899309	0.7567243	0.239412212	0.5064201	1.787455	0.2856667	0.2217141	0.1985559	0.7160623	0.200063	0.2529977	1.901275	0.5424905	0.0842469	0.5828057	0.1422099	0.3931	0.2391918	0.5244052	0.635208241	0.1522529	1.038932297	0.1710754	0.406532152	1.099911472	4.525747	0.180838243	0.9223959	1.517227866	0.09725638	0.192976837	0.060146859	0.641317496	0.561456767	4.188475791	0.203572871	1.92821	0.6186324	0.4182448
VIM-AS1	0.481070123	1.697698368	0.6793821	0.3501051	1.232088	0.707454887	1.279252	0.370196131	0.231175326	0.09997545	0.4378828	0.1769288	0.4608927	0.8536744	1.665635	0.4235365	0.265081	1.640324	0.5194798	0.3182386	2.041666	0.6333492	0.1083454	0.5247344	0.4228901	0.1178335	0.157989	0.118068216	1.669567	0.1261291	0.5316145	0.6474671	0.1814456	0.509562194	0.606964906	0.656819292	0.816915	0.3540113	0.5255538	0.1849072	0.533616783	0.7895678	0.3910383	1.049901	0.737294	1.463267	0.29302093	1.051218562	0.4896552	0.436354	1.006176308	0.860436131	0.714659439	0.7547451	0.589597811	1.005248	0.6566347	0.1302942	0.940314483	0.6363735	0.991758056	0.5052497	0.9320569	2.289238	0.6263261	0.8479803	0.318261417	1.987763	0.4070249	0.3448076	0.9806444	2.313447	2.061035091	0.2175471	0.1962918	0.4438224	0.5547505	0.504231	0.5987884	0.368004467	0.09336303	0.216221694	0.6213429	0.591596386	0.2960481	1.325589	0.7205635	0.473298894	0.464371647	0.253722	0.1482915	0.9955143	0.1641211	0.0292696	2.458499	2.533927	1.184555582	0.7384693	0.711220821	0.374221786	0.5485316	0.568102	1.56901018	1.133642	0.4180491	0.3653898	0.06961078	0.599917032	0.2232387	0.5320695	0.290191157	0.3906197	0.6565368	0.3399605	0.5667957	0.6038611	0.6727558	0.6613529	0.490653	0.8112667	0.2575029	0.2877801	0.4366947	0.1316298	2.202928	0.1757115	1.177361	0.72793844	0.3355372	1.188419137	1.394969	0.604747188	0.969600675	1.131791	0.199267039	0.7761563	0.532900582	0.2357686	1.488498546	0.994144238	0.349179423	1.818900077	0.28646773	0.574255359	0.5556933	0.1185523	0.2867618
AC130371.2	0.435666342	0.280247376	0.390872	0.4891812	0.5813917	1.119313913	0.3276943	0.308150863	0.650909368	1.037091	0.2562356	0.1392345	0.2951567	0.3975963	0.5144544	0.9312549	0.5824124	0.46757	0.327798	0.3557248	0.5386602	0.7941783	0.824205	0.6801794	1.763477	4.513931	2.541062	0.883073416	0.2287046	0.257006	0.5120774	0.9698689	1.882218	0.766749004	0.304437641	0.433697497	0.03170631	0.6985693	0.6853704	0.3516567	0.837639583	0.643543	3.924614	0.7606482	0.2738446	0.2570974	0.465410053	0.833646498	0.6427017	0.9484094	0.860423689	0.265060057	0.220732439	0.5180299	2.799760987	0.2340955	1.512818	0.1858451	0.672945513	1.514877	0.354880812	0.2017016	1.056946	0.3765956	0.5197733	0.8081168	0.193042817	0.06821644	1.701275	0.6612658	0.537332	0.07542367	1.814741065	0.4835818	0.836866	0.9235933	0.7398875	0.4577973	0.6395096	0.408435365	1.25136	0.663465663	1.269126	0.582261064	0.6727045	0.6730556	1.002708	0.356091425	0.443746302	0.4454111	0.3516105	0.2449513	0.9363765	0.413511	0.2952995	0.779902	0.225278819	0.6529028	1.142568936	0.921261315	0.6878225	0.6676328	0.442065789	0.2639952	0.959103	0.2978136	0.3404207	0.873898014	1.273666	1.78645	0.430040757	0.4245032	1.284276	0.3283998	1.083242	1.084226	1.272678	0.6947633	0.5089767	1.307925	2.878348	0.2723891	0.6699881	0.2860956	0.7262746	0.8306467	1.106797	0.319475438	0.9571873	0.959743162	0.9218754	0.438136533	0.415936891	0.9916604	0.173241655	0.8434824	1.737378002	0.5939643	0.485284632	1.210024856	3.713368456	0.242042083	3.061281998	0.526557389	0.5506109	0.4831346	1.135247
AC093388.1	0.577781378	0.547541458	0.1388505	0.4633949	0.2628554	0.240979845	1.100582	0.291907251	0.87621802	0.2526229	0.1560398	0.7065802	1.372572	2.003028	1.299562	0.2281462	0.6673931	0.5813363	0.5434078	0.7581902	0.9294125	0.3949652	0.5019162	0.3807375	0.2733577	1.455655	0.4879287	0	0.6824439	0.3895335	1.735109	0.4053282	0.1910358	0.408561315	0.324438486	0.34664281	1.126311	0.3021012	1.460795	0.4282968	2.426232793	0.5715185	0.1065593	1.235232	1.599691	0.4464991	0.452478831	0.493563963	0.4713467	0.3170879	0.840538897	0.470789811	1.498528003	0.8280948	0.11875418	2.439312	0.3244692	1.169466	0.212490805	0.4679424	0.616318846	1.910693	0.6758308	2.04317	1.002334	0.4834853	1.234351688	6.155106	0.6768701	4.51014	0.3817556	0.2679294	1.184771555	3.756343	0.8044102	0.7436716	0.6716821	0.325249	0.7652199	0.181361924	0.3844531	0.854356692	0.2080776	0.413676174	0.1662376	0.20134	0.1628318	0.303588643	0.482171939	0.6781051	1.124131	0.7396247	0.855338	0.5875702	0.4195999	0.9440105	0.685940326	0.5218477	0.095500632	0.566074834	0.2606261	0.5508346	1.076819389	1.000317	0.3586364	0.9168735	0.2015475	1.478271558	0.1939062	0.6621966	0.244423165	0.9478692	0.110598	0.4666332	0.09054187	0.2027117	0.3078104	0.374459	0.8265376	0.3716941	0.1704138	0.7310868	0.3173354	0.842081	1.261316	0.2441981	0.5353811	0.583652967	0.1165797	0.959660497	0.6986243	0.103760241	1.122932875	0.6553862	0.184623229	0.6420695	0.338840206	0.8936278	1.576127099	0.491245972	0.154056569	0.573208188	0.774129076	0.290967178	0.4290469	1.016021	0.5218873
LINC01116	1.61238085	1.488548949	1.886383	0.8716918	3.124317	4.230865439	4.103856	5.015876845	3.862359424	1.695724	4.114387	1.963049	4.100952	0.5326084	3.075345	1.331514	2.922905	3.585086	0.0655259	3.169402	0.1714036	1.279104	0.4438332	4.160205	2.922663	6.099587	2.129865	4.484870522	2.633323	7.603468	5.291371	2.248287	0.9767147	0.251802294	2.973261281	3.473988703	3.35733	1.727745	2.530118	6.008086	2.263224169	2.673925	1.45625	0.3909894	0.04170726	6.637044	2.19084944	4.63427865	2.451076	3.422077	1.584822741	3.444009218	0.495867371	4.637682	3.050110866	5.695624	3.687584	3.420825	1.101782106	2.347323	5.499513652	6.693051	5.976219	0.1642481	1.984725	0.9911042	0.917860131	1.998688	0.3964362	0.4758666	2.283254	0.8529262	6.672572736	2.021714	0.2024315	4.114471	3.85248	6.061211	2.145341	3.612794633	0.5215344	0.589707203	1.672712	1.49647298	1.032342	0.8740166	5.340665	1.423633412	2.746085583	2.812824	0.579859	3.661888	0.2291988	0.1526025	0.2312994	1.880701	3.275432379	3.775567	4.065070367	0.878836736	2.404177	1.594115	2.997288219	4.10113	6.218712	3.053147	2.420605	1.383257581	0.7014554	3.406927	0.707360366	2.098912	1.253609	4.100542	2.685788	3.940316	2.718805	5.902794	3.886998	2.141404	3.123457	0.5600553	3.826535	6.897778	7.825906	1.94345	1.517113	4.175808385	1.105862	4.153703653	0.8108333	1.764156875	0.769681535	8.377033	5.061002817	2.591085	1.996227893	0.251432	8.611848412	0.236944215	0.863814107	4.644818786	11.868407876	3.618847446	3.883235	0.2913873	0.3890273
AC010326.3	1.123835228	2.710949673	1.905189	1.848802	2.140228	3.021653024	1.50119	2.125893017	1.048135122	2.479723	1.531672	1.575081	1.448714	2.374346	5.195139	2.976317	1.504632	2.471872	1.401107	2.08065	5.054883	1.286358	0.847615	1.706353	2.827514	3.053607	1.606787	0.733510172	2.654826	2.004319	2.516646	1.334778	1.548543	2.731096339	2.602515888	2.41475772	2.225419	2.979062	1.934297	2.215074	3.47885659	2.774825	2.069458	2.615658	2.765378	3.573069	0.947811667	4.313414667	1.604418	2.861496	1.451727376	2.901932679	2.4938684	3.059113	1.203282413	2.083109	1.541109	1.935128	2.153073256	1.363167	3.370816022	2.480524	2.353961	2.279742	2.639274	4.01866	3.322205759	1.074233	1.469661	1.071075	1.643967	1.628885	6.22305288	5.163808	2.214871	2.271668	1.553509	2.022301	2.453296	0.87288773	4.565026	1.436582707	1.954622	2.161290469	1.921281	0.8925382	2.60375	2.413904786	2.325372092	1.316929	2.353207	3.774694	1.56483	2.203971	2.847065	3.508985	1.505903356	4.075895	3.840419376	1.45635048	1.733029	3.139514	2.869800324	1.900454	1.226442	1.094286	1.94008	7.751455161	2.660618	0.9785036	0.928736032	1.418821	1.01558	0.7018397	4.09972	2.053986	1.949315	2.996575	1.733873	1.281557	0.9712836	1.824709	1.657949	3.51227	5.954477	2.061958	0.9959547	2.299846743	1.574999	5.341696014	1.43789	3.022647375	4.865665275	1.805449	2.260433643	4.12034	1.256838382	2.515202	0.623835284	2.216575619	1.195129572	2.468425244	6.046339519	2.026914212	2.333498	1.80856	4.807317
AL355488.1	0.099627466	0.488158971	0.6424473	0.1608062	0.3229367	0.218150176	0.3001721	0.088084293	0.205646491	0.5145531	0.3766856	0.1066068	0.2013373	2.440937	1.605358	0.4199492	0.2940276	0.3571066	0.2869575	0.7372033	3.489181	0.255391	0.441745	0.167915	0.5705342	0.8785007	1.067451	0.145629651	0.3285081	0.1652955	0.118227	0.1100786	0.3977566	0.643822548	0.195801472	0.319614131	0.5098041	0.35813	0.2204007	0.7754426	0.676871565	0.1724582	0.3215473	0.7804174	4.122638	0.6062987	0.031508647	0.362408721	0.173344	0.8013423	0.126818149	0.383569804	2.765704315	1.464582	0.232924865	0.1171025	0.2325362	0.142295	0.76944039	0.1976851	0.2197909	0.129726	0.1359566	3.251492	0.3502152	0.9391914	0.569052971	0.1389342	0.6492185	0.1559427	0.1497554	1.188479	1.188195044	5.114542	1.503897	0.4092112	0.08812305	0.1606014	0.1082383	0.043781405	0.0725065	0.488942185	0.1465061	0.944016287	0.2508146	0.05316083	0.1105542	0.269738213	0.436492492	0.3887802	0.1366269	0.5776553	0.272441	0.7364848	0.6783006	0.9474669	0.531262788	0.323688	0.129679806	0.25088536	0.2408505	1.28818	0.568636204	0.5376702	0.1136311	0.0957706	0.06689963	0.731562879	0.8191686	0.1387644	0.460973513	0.2340194	0.08343358	0.409225	0.9699099	0.1896244	0.4005585	0.2413977	0.1558821	0.1246226	0.1221299	0.2660281	0.1496209	0.1971478	0.9947697	0.1473757	0.1211652	0.587066142	0.2052075	1.219291638	0.3425711	0.313101078	1.21272603	0.1681008	0.222843476	0.9622781	0.131459809	0.786497	0.282389439	2.733094364	0.156894454	0.095132447	0.189102207	0.326116596	0.3998239	0.2817302	0.680035
AC026740.1	0.291655942	2.868284065	1.258021	0.7557262	1.041073	0.131000422	0.5982934	1.130633175	1.296664819	1.35041	0.2403394	0.3687438	1.264313	3.825031	3.488158	0.6945337	2.467076	1.106082	0.6330108	0.4121641	3.596143	0.4600913	1.659835	0.8756629	2.229023	8.358286	3.289047	1.119378355	0.2296587	1.032313	1.490916	0.1468952	0.6854103	0.888401343	1.851883394	2.261285588	1.763368	0.9149788	1.732606	3.647652	3.309788265	0.434961	0.6565094	0.4826345	2.115285	2.096252	0.245974586	1.216334622	0.2562315	1.141977	0.498469223	0.409485954	5.077187167	0.6002205	0.225948219	1.145223	1.212657	0.7792943	1.155133329	0.4578855	0.395957057	7.348679	1.857372	0.3966784	0.6309186	0.295684	2.721330207	0.1844259	0.6570664	11.85028	0.9961361	0.1456506	5.379798555	3.112816	1.444958	1.521963	0.6985228	1.237673	0.9359674	0.216900607	1.98545	1.697614458	0.754095	1.517945759	0.926286	0.3283548	3.518588	1.870402847	0.504069663	0.6635314	0.407397	2.530686	5.941349	1.916474	0.9449903	1.004046	0.969508576	0.9771359	1.843005243	0.250028313	0.1771005	3.89275	1.390267764	2.481032	1.988596	1.821175	0.4382575	1.157200694	1.089241	0.3599805	0.354326038	0.1639516	0.3907982	2.124479	0.6890797	0.5289469	8.408361	1.147348	0.9969261	0.2694116	0.1621194	0.2571607	0.1940721	1.483801	3.054352	1.062	0.7276039	1.938951071	0.6337454	0.439314939	0.5459383	0.958896791	2.377518403	0.3740921	0.769457958	1.163463	0.210512969	0.4588018	1.071009248	1.602294067	0.314053373	0.155802478	1.062091484	0.677889939	0.2606762	2.343649	3.50764
KTN1-AS1	1.327875462	1.363419076	1.157023	1.346874	1.729216	0.513062514	1.255654	0.842329026	0.844261993	0.8208782	1.518006	0.9837484	1.030649	0.6388889	0.5343297	0.5948937	2.033999	0.6605727	0.4456959	3.128721	0.4512095	0.8975982	0.7454282	0.6235508	1.20432	0.5114533	0.1984289	0.854333614	2.277796	0.57658	3.012639	0.2973535	1.412124	0.374656598	0.963689096	0.916774077	1.20708	0.5936382	1.810802	0.5122882	1.226518711	1.79558	0.2464153	0.5494334	0.7963881	0.6554374	0.653618185	1.349944348	0.8879543	2.488964	1.160749252	0.792114224	0.737800992	1.315149	0.433229783	3.421636	0.9217362	0.6181816	1.067478149	0.587694	1.125878706	1.428369	1.549366	0.5295004	0.8770878	0.2313198	0.828432913	2.597045	0.612989	0.7192806	0.7214598	2.012564	1.317080577	1.243789	1.058376	0.7534671	0.5169722	0.5481818	0.7951528	0.924113416	0.6725255	0.750568601	0.6014668	0.785495684	1.163201	0.6381834	2.307954	1.065164046	1.486185254	1.303144	1.165303	1.207313	1.943842	0.8595737	0.4015087	1.737888	0.984548562	1.310789	0.456915402	2.128587029	0.3351166	0.7430437	0.976725607	0.7627588	1.222556	0.5145949	0.9208955	1.365026499	0.4793268	2.288165	1.096334781	0.556569	0.6680488	0.7604693	0.6118817	0.4897786	1.233382	0.7532739	0.7136647	0.3507285	0.4025701	1.054492	0.7923456	0.9863788	0.5966092	1.450698	0.7204189	0.574002084	0.4833976	0.827664151	1.284779	0.893579155	2.042996389	0.3449209	1.288168566	1.111015	0.526875313	0.4513021	1.254845975	0.235032843	0.479096647	6.314537929	0.2821913	0.477294858	1.083727	3.054593	0.9647228
LINC02542	1.014682104	1.900832378	0.4600196	3.272515	15.28253	2.571624335	0.7307343	1.660622	0.356503953	2.312637	1.047542	0.8427388	0.8775705	3.062837	1.614572	0.8831647	2.290246	4.170588	1.502541	1.123757	0.3717916	0.118064	3.938394	0.09192427	0.9294825	5.092359	5.309044	0.706888452	3.586962	0.05094264	1.698203	1.696264	0.6195881	2.279725749	2.856926897	0.382815864	0.3770814	0.9933533	0.8336323	0.410755	1.221302969	1.275603	12.57927	3.291416	2.600932	2.293233	1.948208029	1.549142367	0.5855996	1.617264	2.678160321	0.985107634	1.221427935	1.034839	2.01896553	1.798055	1.103274	0.6709675	0.500206458	0.9057133	1.289620943	1.324352	11.35246	0.0763437	2.787255	0.1896886	1.721885567	3.169119	0.4805378	1.130507	4.653053	2.130397	2.953026569	1.222132	1.024553	0.7551667	0.5194114	1.902502	2.301711	3.206708284	0.7038952	0.924675001	1.396888	1.514799616	0.543508	1.579858	1.38417	0.44114327	1.532788769	0.543914	2.629887	1.752467	1.491465	0.7329507	0.5017114	2.168538	1.100397375	2.608533	0.574514142	5.256163226	0.03408431	3.521827	0.798007881	2.125825	1.632188	0.05534189	2.192994	0.989830493	7.844316	0.1732023	2.493294695	0.6536125	1.12818	3.585256	2.533961	0.2120828	1.85173	2.546504	2.594242	1.231444	2.117216	2.092183	1.597776	1.868347	3.329053	3.427785	2.170508	1.119496567	1.382315	0.475590488	2.809477	0.814177074	0.896591942	0.5999733	1.158948737	0.7165349	1.240765231	0.1038821	3.529867981	1.317011326	1.06780694	0.089956029	6.537179667	2.196159979	2.072775	0.6176834	0.3474632
AC012213.4	0.200521382	0.362777853	0.4497604	0.1125762	2.599914	1.053776273	0.05141787	0.044322076	0	0.6648598	0.06317996	0.2746481	0	0.1247721	0.2959808	0	0.6809672	0.6052654	0.7072196	1.176789	0	0.06853713	0.101612	0	0.4427261	1.657658	0.05926818	0.039081404	0.3947416	2.158802	0.203963	0.1312928	0.1392295	0.165425015	0.131363982	0.046784811	0.2188989	0.1572682	0.1075401	0.08670792	0.055606018	0	0.9060549	0.5157704	1.680543	0.6902733	0.042278552	0.919274501	0.07156748	0.9629081	0	0	2.412884073	0.3911747	0	0	0.09853231	0	1.032441201	0.1705214	0.408346847	0.4641796	0.501676	3.604544	0.1922406	0.5138739	1.124515309	0.0588704	0	0.4565349	1.112915	1.106533	0.169309328	9.904593	0.04248298	0.1594112	1.064198	0	0	1.14555159	0.05837387	0.07157089	0.5897492	0.565299009	0.05048176	0	4.549171	0.040973985	0.946113127	0.3294748	0.1896487	0.0528479	1.847057	0.05490117	0	1.844658	0.16664087	0.07043143	4.930152682	0.21487657	0	0	0.163500119	0.9872475	0.3485055	0.08567049	0	0.933733108	0.5495835	0.04468684	0.049483032	0	0.0671711	0.03542589	0	0.04924635	0.04673675	0.992403	0	0.05016587	1.448999	0.4701406	0.09636599	0.9170529	3.412419	0.2966249	0.5690314	0.157545999	0.3304189	0.245408275	0.05303822	0.378109353	4.307414239	0	0.448519709	0.6759262	0.764373184	0	0.65811098	0.522122307	0	0.069626983	0	0.504906725	0.2759076	0.03335539	0.9220814
